Date,HomeTeam,AwayTeam,FTR
2014-08-16,Arsenal,Crystal Palace,H
2014-08-16,Leicester,Everton,D
2014-08-16,Man United,Swansea,A
2014-08-16,QPR,Hull,A
2014-08-16,Stoke,Aston Villa,A
2014-08-16,West Brom,Sunderland,D
2014-08-16,West Ham,Tottenham,A
2014-08-17,Liverpool,Southampton,H
2014-08-17,Newcastle,Man City,A
2014-08-18,Burnley,Chelsea,A
2014-08-23,Aston Villa,Newcastle,D
2014-08-23,Chelsea,Leicester,H
2014-08-23,Crystal Palace,West Ham,A
2014-08-23,Everton,Arsenal,D
2014-08-23,Southampton,West Brom,D
2014-08-23,Swansea,Burnley,H
2014-08-24,Hull,Stoke,D
2014-08-24,Sunderland,Man United,D
2014-08-24,Tottenham,QPR,H
2014-08-25,Man City,Liverpool,H
2014-08-30,Burnley,Man United,D
2014-08-30,Everton,Chelsea,A
2014-08-30,Man City,Stoke,A
2014-08-30,Newcastle,Crystal Palace,D
2014-08-30,QPR,Sunderland,H
2014-08-30,Swansea,West Brom,H
2014-08-30,West Ham,Southampton,A
2014-08-31,Aston Villa,Hull,H
2014-08-31,Leicester,Arsenal,D
2014-08-31,Tottenham,Liverpool,A
2014-09-13,Arsenal,Man City,D
2014-09-13,Chelsea,Swansea,H
2014-09-13,Crystal Palace,Burnley,D
2014-09-13,Liverpool,Aston Villa,A
2014-09-13,Southampton,Newcastle,H
2014-09-13,Stoke,Leicester,A
2014-09-13,Sunderland,Tottenham,D
2014-09-13,West Brom,Everton,A
2014-09-14,Man United,QPR,H
2014-09-15,Hull,West Ham,D
2014-09-20,Aston Villa,Arsenal,A
2014-09-20,Burnley,Sunderland,D
2014-09-20,Newcastle,Hull,D
2014-09-20,QPR,Stoke,D
2014-09-20,Swansea,Southampton,A
2014-09-20,West Ham,Liverpool,H
2014-09-21,Everton,Crystal Palace,A
2014-09-21,Leicester,Man United,H
2014-09-21,Man City,Chelsea,D
2014-09-21,Tottenham,West Brom,A
2014-09-27,Arsenal,Tottenham,D
2014-09-27,Chelsea,Aston Villa,H
2014-09-27,Crystal Palace,Leicester,H
2014-09-27,Hull,Man City,A
2014-09-27,Liverpool,Everton,D
2014-09-27,Man United,West Ham,H
2014-09-27,Southampton,QPR,H
2014-09-27,Sunderland,Swansea,D
2014-09-28,West Brom,Burnley,H
2014-09-29,Stoke,Newcastle,H
2014-10-04,Aston Villa,Man City,A
2014-10-04,Hull,Crystal Palace,H
