Date,HomeTeam,AwayTeam,FTR,HomeTeamCR,AwayTeamCR
2015-08-08,Bournemouth,Aston Villa,A,,
2015-08-08,Chelsea,Swansea,D,,
2015-08-08,Everton,Watford,D,,
2015-08-08,Leicester,Sunderland,H,,
2015-08-08,Man United,Tottenham,H,,
2015-08-08,Norwich,Crystal Palace,A,,
2015-08-09,Arsenal,West Ham,A,,
2015-08-09,Newcastle,Southampton,D,,
2015-08-09,Stoke,Liverpool,A,,
2015-08-10,West Brom,Man City,A,,
2015-08-14,Aston Villa,Man United,A,,
2015-08-15,Southampton,Everton,A,,
2015-08-15,Sunderland,Norwich,A,,
2015-08-15,Swansea,Newcastle,H,,
2015-08-15,Tottenham,Stoke,D,,
2015-08-15,Watford,West Brom,D,,
2015-08-15,West Ham,Leicester,A,,
2015-08-16,Crystal Palace,Arsenal,A,,
2015-08-16,Man City,Chelsea,H,,
2015-08-17,Liverpool,Bournemouth,H,,
2015-08-22,Crystal Palace,Aston Villa,H,,
2015-08-22,Leicester,Tottenham,D,,
2015-08-22,Man United,Newcastle,D,,
2015-08-22,Norwich,Stoke,D,,
2015-08-22,Sunderland,Swansea,D,,
2015-08-22,West Ham,Bournemouth,A,,
2015-08-23,Everton,Man City,A,,
2015-08-23,Watford,Southampton,D,,
2015-08-23,West Brom,Chelsea,A,,
2015-08-24,Arsenal,Liverpool,D,,
2015-08-29,Aston Villa,Sunderland,D,,
2015-08-29,Bournemouth,Leicester,D,,
2015-08-29,Chelsea,Crystal Palace,A,,
2015-08-29,Liverpool,West Ham,A,,
2015-08-29,Man City,Watford,H,,
2015-08-29,Newcastle,Arsenal,A,,
2015-08-29,Stoke,West Brom,A,,
2015-08-29,Tottenham,Everton,D,,
2015-08-30,Southampton,Norwich,H,,
2015-08-30,Swansea,Man United,H,,
2015-09-12,Arsenal,Stoke,H,,
2015-09-12,Crystal Palace,Man City,A,,
2015-09-12,Everton,Chelsea,H,,
2015-09-12,Man United,Liverpool,H,,
2015-09-12,Norwich,Bournemouth,H,,
2015-09-12,Watford,Swansea,H,,
2015-09-12,West Brom,Southampton,D,,
2015-09-13,Leicester,Aston Villa,H,,
2015-09-13,Sunderland,Tottenham,A,,
2015-09-14,West Ham,Newcastle,H,,
2015-09-19,Aston Villa,West Brom,A,,
2015-09-19,Bournemouth,Sunderland,H,,
2015-09-19,Chelsea,Arsenal,H,,
2015-09-19,Man City,West Ham,A,,
2015-09-19,Newcastle,Watford,A,,
2015-09-19,Stoke,Leicester,D,,
2015-09-19,Swansea,Everton,D,,
2015-09-20,Liverpool,Norwich,D,,
2015-09-20,Southampton,Man United,A,,
2015-09-20,Tottenham,Crystal Palace,H,,
2015-09-26,Leicester,Arsenal,A,,
2015-09-26,Liverpool,Aston Villa,H,,
2015-09-26,Man United,Sunderland,H,,
2015-09-26,Newcastle,Chelsea,D,,
2015-09-26,Southampton,Swansea,H,,
2015-09-26,Stoke,Bournemouth,H,,
2015-09-26,Tottenham,Man City,H,,
2015-09-26,West Ham,Norwich,D,,
2015-09-27,Watford,Crystal Palace,A,,
2015-09-28,West Brom,Everton,A,,
2015-10-03,Aston Villa,Stoke,A,,
2015-10-03,Bournemouth,Watford,D,,
2015-10-03,Chelsea,Southampton,A,,
2015-10-03,Crystal Palace,West Brom,H,,
2015-10-03,Man City,Newcastle,H,,
2015-10-03,Norwich,Leicester,A,,
2015-10-03,Sunderland,West Ham,D,,
2015-10-04,Arsenal,Man United,H,,
2015-10-04,Everton,Liverpool,D,,
2015-10-04,Swansea,Tottenham,D,,
2015-10-17,Chelsea,Aston Villa,H,,
2015-10-17,Crystal Palace,West Ham,A,,
2015-10-17,Everton,Man United,A,,
2015-10-17,Man City,Bournemouth,H,,
2015-10-17,Southampton,Leicester,D,,
2015-10-17,Tottenham,Liverpool,D,,
2015-10-17,Watford,Arsenal,A,,
2015-10-17,West Brom,Sunderland,H,,
2015-10-18,Newcastle,Norwich,H,,
2015-10-19,Swansea,Stoke,A,,
2015-10-24,Arsenal,Everton,H,,
2015-10-24,Aston Villa,Swansea,A,,
2015-10-24,Leicester,Crystal Palace,H,,
2015-10-24,Norwich,West Brom,A,,
2015-10-24,Stoke,Watford,A,,
2015-10-24,West Ham,Chelsea,H,,
2015-10-25,Bournemouth,Tottenham,A,,
2015-10-25,Liverpool,Southampton,D,,
2015-10-25,Man United,Man City,D,,
2015-10-25,Sunderland,Newcastle,H,,
2015-10-31,Chelsea,Liverpool,A,,
2015-10-31,Crystal Palace,Man United,D,,
2015-10-31,Man City,Norwich,H,,
2015-10-31,Newcastle,Stoke,D,,
2015-10-31,Swansea,Arsenal,A,,
2015-10-31,Watford,West Ham,H,,
2015-10-31,West Brom,Leicester,A,,
2015-11-01,Everton,Sunderland,H,,
2015-11-01,Southampton,Bournemouth,H,,
2015-11-02,Tottenham,Aston Villa,H,,
2015-11-07,Bournemouth,Newcastle,A,,
2015-11-07,Leicester,Watford,H,,
2015-11-07,Man United,West Brom,H,,
2015-11-07,Norwich,Swansea,H,,
